Title,Authors,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations
Sediment chemistry of urban stormwater ponds and controls on denitrification,"Blaszczak, Joanna R.; Steele, Meredith K.; Badgley, Brian D.; Heffernan, Jim B.; Hobbie, Sarah E.; Morse, Jennifer L.; Rivers, Erin N.; Hall, Sharon J.; Neill, Christopher; Pataki, Diane E.; Groffman, Peter M.; Bernhardt, Emily S.",ECOSPHERE,2018,9,6,,,10.1002/ecs2.2318,2
The interrelationship of green infrastructure and natural capital,"Chenoweth, Jonathan; Anderson, Andrew R.; Kumar, Prashant; Hunt, W. F.; Chimbwandira, Sarah Jane; Moore, Trisha L. C.",LAND USE POLICY,2018,75,,137,144,10.1016/j.landusepol.2018.03.021,2
Influence of stormwater runoff on macroinvertebrates in a small urban river and a reservoir,"Goldyn, Ryszard; Szpakowska, Barbara; Swierk, Dariusz; Domek, Piotr; Buxakowski, Jan; Dondajewska, Renata; Baralkiewicz, Danuta; Sajnog, Adam",SCIENCE OF THE TOTAL ENVIRONMENT,2018,625,,743,751,10.1016/j.scitotenv.2017.12.324,2
Urban stormwater runoff negatively impacts lateral line development in larval zebrafish and salmon embryos,"Young, Alexander; Kochenkov, Valentin; McIntyre, Jenifer K.; Stark, John D.; Coffin, Allison B.",SCIENTIFIC REPORTS,2018,8,,,,10.1038/s41598-018-21209-z,2
Plant growth and nutrient uptake in treatment wetlands for water with low pollutant concentration,"Vincent, Gilles; Shang, Kankan; Zhang, Guowei; Chazarenc, Florent; Brisson, Jacques",WATER SCIENCE AND TECHNOLOGY,2018,77,4,1072,1078,10.2166/wst.2017.624,2
Substrate influence on aromatic plant growth in extensive green roofs in a Mediterranean climate,"Monteiro, Cristina M.; Calheiros, Cristina S. C.; Martins, Joao P.; Costa, Francisco M.; Palha, Paulo; de Freitas, Sara; Ramos, Nuno M. M.; Castro, Paula M. L.",URBAN ECOSYSTEMS,2017,20,6,1347,1357,10.1007/s11252-017-0687-9,2
The uniqueness and biogeochemical cycling of plant root microbial communities in a floating treatment wetland,"Urakawa, Hidetoshi; Dettmar, Dana L.; Thomas, Serge",ECOLOGICAL ENGINEERING,2017,108,,573,580,10.1016/j.ecoleng.2017.06.066,2
Exploring Psychological and Aesthetic Approaches of Bio-Retention Facilities in the Urban Open Space,"Kim, Suyeon; An, Kyungjin",SUSTAINABILITY,2017,9,11,,,10.3390/su9112067,2
Developing an ecosystem model of a floating wetland for water quality improvement on a stormwater pond,"McAndrew, Brendan; Ahn, Changwoo",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2017,202,,198,207,10.1016/j.jenvman.2017.07.035,2
Detention Outlet Retrofit Improves the Functionality of Existing Detention Basins by Reducing Erosive Flows in Receiving Channels,"Hawley, Robert J.; Goodrich, James A.; Korth, Nora L.; Rust, Christopher J.; Fet, Elizabeth V.; Frye, Craig; MacMannis, Katherine R.; Wooten, Matthew S.; Jacobs, Mark; Sinha, Rajib",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,2017,53,5,1032,1047,10.1111/1752-1688.12548,2
Evaluating quantities of stormwater flow in a gross pollutant trap: an empirical methodology,"Madhani, Jehangir T.",ECOLOGICAL ENGINEERING,2017,106,,555,562,10.1016/j.ecoleng.2017.04.025,2
Toxicity of effluents from gasoline stations oil-water separators to early life stages of zebrafish Danio rerio,"Alves, Romulo Nepomuceno; Mariz, Celio Freire, Jr.; de Paulo, Driele Ventura; Carvalho, Paulo S. M.",CHEMOSPHERE,2017,178,,224,230,10.1016/j.chemosphere.2017.03.023,2
Sand quarry wetlands provide high-quality habitat for native amphibians,"Sievers, Michael",WEB ECOLOGY,2017,17,1,19,27,10.5194/we-17-19-2017,2
Geochemical modelling of heavy metals in urban stormwater biofilters,"Kabir, Md. Imran; Daly, Edoardo; Maggi, Federico",ECOLOGICAL ENGINEERING,2017,102,,565,576,10.1016/j.ecoleng.2017.02.064,2
Understanding the Relationship between Stormwater Control Measures and Ecosystem Services in an Urban Watershed,"McDonough, Kelsey; Moore, Trisha; Hutchinson, Stacy",JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,2017,143,5,,,10.1061/(ASCE)WR.1943-5452.0000751,2
Quantifying annual groundwater recharge and storage in the central Sierra Nevada using naturally occurring S-35,"Uriostegui, Stephanie H.; Bibby, Richard K.; Esser, Bradley K.; Clark, Jordan F.",HYDROLOGICAL PROCESSES,2017,31,6,1382,1397,10.1002/hyp.11112,2
Spatially Distributed Hydrodynamic Modeling of Phosphorus Transport and Transformation in a Cell-Network Treatment Wetland,"Paudel, Rajendra; Jawitz, James W.",JOURNAL OF HYDROLOGIC ENGINEERING,2017,22,1,,,10.1061/(ASCE)HE.1943-5584.0001403,2
Invertebrates in stormwater wet detention ponds - Sediment accumulation and bioaccumulation of heavy metals have no effect on biodiversity and community structure,"Stephansen, Diana Agnete; Nielsen, Asbjorn Haaning; Hvitved-Jacobsen, Thorkild; Pedersen, Morten Lauge; Vollertsen, Jes",SCIENCE OF THE TOTAL ENVIRONMENT,2016,566,,1579,1587,10.1016/j.scitotenv.2016.06.050,2
Tracing metals through urban wetland food webs,"Mackintosh, Teresa J.; Davis, Jenny A.; Thompson, Ross M.",ECOLOGICAL ENGINEERING,2016,94,,200,213,10.1016/j.ecoleng.2016.05.057,2
A spatially-explicit technique for evaluation of alternative scenarios in the context of ecosystem goods and services,"Teague, A.; Russell, M.; Harvey, J.; Dantin, D.; Nestlerode, J.; Alvarez, E.",ECOSYSTEM SERVICES,2016,20,,15,29,10.1016/j.ecoser.2016.06.001,2
A creative collaboration between the science of ecosystem restoration and art for sustainable stormwater management on an urban college campus,"Ahn, Changwoo",RESTORATION ECOLOGY,2016,24,3,291,297,10.1111/rec.12341,2
Restoration and Management of a Degraded Baldcypress Swamp and Freshwater Marsh in Coastal Louisiana,"Hunter, Rachael G.; Day, John W.; Shaffer, Gary P.; Lane, Robert R.; Englande, Andrew J.; Reimers, Robert; Kandalepas, Demetra; Wood, William B.; Day, Jason N.; Hillmann, Eva",WATER,2016,8,3,,,10.3390/w8030071,2
Vegetation and Media Characteristics of an Effective Bioretention Cell,"Muerdter, Claire; Ozkok, Enes; Li, Liqing; Davis, Allen P.",JOURNAL OF SUSTAINABLE WATER IN THE BUILT ENVIRONMENT,2016,2,1,,,10.1061/JSWBAY.0000804,2
Summer soil moisture loss at Utah SNOTEL sites and streamflow recession at nearby gauges: variability in runoff generation and the potential for flow forecasting,"Clayton, Jordan A.",HYDROLOGICAL PROCESSES,2016,30,1,119,134,10.1002/hyp.10572,2
Toxicological evaluation of water from stormwater ponds using Xenopus tropicalis embryos,"Pohl, Johannes; Orn, Stefan; Norrgren, Leif; Carlsson, Gunnar",WETLANDS ECOLOGY AND MANAGEMENT,2015,23,6,1091,1098,10.1007/s11273-015-9444-0,2
Diagnosis of the artificial intelligence-based predictions of flow regime in a constructed wetland for stormwater pollution control,"Chang, Ni-Bin; Mohiuddin, Golam; Crawford, A. James; Bai, Kaixu; Jin, Kang-Ren",ECOLOGICAL INFORMATICS,2015,28,,42,60,10.1016/j.ecoinf.2015.05.001,2
Ecological Analysis Before and After Planting in a Constructed Wetland in the Adirondacks,"Pier, Bianca M.; Dresser, Brian R.; Lee, James J.; Boylen, Charles W.; Nierzwicki-Bauer, Sandra A.",WETLANDS,2015,35,3,611,624,10.1007/s13157-015-0652-4,2
Nutrient and Removal Kinetics Impacts on Salt Phytoremediation by Atriplex patula and Typha angustifolia,"Morteau, Bertrand; Triffault-Bouchet, Gaelle; Galvez, Rosa; Martel, Louis",JOURNAL OF ENVIRONMENTAL ENGINEERING,2015,141,2,,,10.1061/(ASCE)EE.1943-7870.0000889,2
Simulation-Optimization Methodology for the Design of Outlet Control Structures for Ecological Detention Ponds,"Mobley, John T.; Culver, Teresa B.; Hall, Thomas E.",JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,2014,140,11,,,10.1061/(ASCE)WR.1943-5452.0000420,2
Effects of Runoff Characteristics and Filter Type on Geotextile Storm Water Treatment,"Franks, Carmen A.; Davis, Allen P.; Aydilek, Ahmet H.",JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,2014,140,2,,,10.1061/(ASCE)IR.1943-4774.0000675,2
Leopold's Arboretum Needs Upstream Water Treatment to Restore Wetlands Downstream,"Zedler, Joy B.; Doherty, James M.; Rojas, Isabel M.",WATER,2014,6,1,104,121,10.3390/w6010104,2
Water quality characterization in the Northern Florida everglades based on three different monitoring networks,"Entry, James A.",ENVIRONMENTAL MONITORING AND ASSESSMENT,2013,185,2,1985,2000,10.1007/s10661-012-2682-1,2
Elimination and accumulation of polycyclic aromatic hydrocarbons in urban stormwater wet detention ponds,"Istenic, Darja; Arias, Carlos A.; Matamoros, Victor; Vollertsen, Jess; Brix, Hans",WATER SCIENCE AND TECHNOLOGY,2011,64,4,818,825,10.2166/wst.2011.525,2
Two alternative modes for diffuse pollution control in Wuhan City Zoo,Chen Qing-feng; Shan Bao-qing; Yin Cheng-qing; Hu Cheng-xiao,JOURNAL OF ENVIRONMENTAL SCIENCES,2007,19,9,1067,1073,10.1016/S1001-0742(07)60174-0,2
Hydrodynamics of salt flat basins: The Salar de Atacama example,"Marazuela, M. A.; Vazquez-Sune, E.; Ayora, C.; Garcia-Gil, A.; Palma, T.",SCIENCE OF THE TOTAL ENVIRONMENT,2019,651,,668,683,10.1016/j.scitotenv.2018.09.190,1
Tree water-use strategies to improve stormwater retention performance of biofiltration systems,"Szota, C.; McCarthy, M. J.; Sanders, G. J.; Farrell, C.; Fletcher, T. D.; Arndt, S. K.; Livesley, S. J.",WATER RESEARCH,2018,144,,285,295,10.1016/j.watres.2018.07.044,1
"Hydrologic and water quality performance of permeable pavement with internal water storage over a clay soil in Durham, North Carolina","Braswell, Alessandra S.; Winston, Ryan J.; Hunt, William F.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2018,224,,277,287,10.1016/j.jenvman.2018.07.040,1
Tree pits to help mitigate runoff in dense urban areas,"Grey, Vaughn; Livesley, Stephen J.; Fletcher, Tim D.; Szota, Christopher",JOURNAL OF HYDROLOGY,2018,565,,400,410,10.1016/j.jhydrol.2018.08.038,1
Urban stormwater run-off promotes compression of saltmarshes by freshwater plants and mangrove forests,"Geedicke, Ina; Oldeland, Jens; Leishman, Michelle R.",SCIENCE OF THE TOTAL ENVIRONMENT,2018,637,,137,144,10.1016/j.scitotenv.2018.04.357,1
"Biomass decaying and elemental release of aquatic macrophyte detritus in waterways of the Indian River Lagoon basin, South Florida, USA","Zhou, Xiaohong; He, Zhenli; Ding, Fenghua; Li, Liguang; Stoffella, Peter J.",SCIENCE OF THE TOTAL ENVIRONMENT,2018,635,,878,891,10.1016/j.scitotenv.2018.04.047,1
"Plant-Microbe Interactions Drive Denitrification Rates, Dissolved Nitrogen Removal, and the Abundance of Denitrification Genes in Stormwater Control Measures","Morse, Natalie; Payne, Emily; Henry, Rebekah; Hatt, Belinda; Chandrasena, Gayani; Shapleigh, James; Cook, Perran; Coutts, Scott; Hathaway, Jon; Walter, M. Todd; McCarthy, David",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2018,52,16,9320,9329,10.1021/acs.est.8b02133,1
Estimating land surface variables and sensitivity analysis for CLM and VIC simulations using remote sensing products,"Umair, Muhammad; Kim, Daeun; Ray, Ram L.; Choi, Minha",SCIENCE OF THE TOTAL ENVIRONMENT,2018,633,,470,483,10.1016/j.scitotenv.2018.03.138,1
Using conservation behavior to manage ecological traps for a threatened freshwater fish,"Hale, Robin; Coleman, Rhys; Sievers, Michael; Brown, Timothy R.; Swearer, Stephen E.",ECOSPHERE,2018,9,8,,,10.1002/ecs2.2381,1
Stormwater ponds promote dragonfly (Odonata) species richness and density in urban areas,"Holtmann, Lisa; Juchem, Marvin; Brueggeshemke, Jonas; Moehlmeyer, Antje; Fartmann, Thomas",ECOLOGICAL ENGINEERING,2018,118,,1,11,10.1016/j.ecoleng.2017.12.028,1
Stormwater wetlands can function as ecological traps for urban frogs,"Sievers, Michael; Parris, Kirsten M.; Swearer, Stephen E.; Hale, Robin",ECOLOGICAL APPLICATIONS,2018,28,4,1106,1115,10.1002/eap.1714,1
Does the efficiency of grazer introduction to restore and preserve the hydraulic performance of infiltration basins depend on the physical and biological characteristics of the infiltration media?,"Estragnat, Valerian; Mermillod-Blondin, Florian; Jully, Maxime; Lemoine, Damien; Lassabatere, Laurent; Volatier, Laurence",ECOLOGICAL ENGINEERING,2018,116,,127,132,10.1016/j.ecoleng.2018.02.024,1
Flood reduction as an ecosystem service of constructed wetlands for combined sewer overflow,"Rizzo, A.; Bresciani, R.; Masi, F.; Boano, F.; Revelli, R.; Ridolfi, L.",JOURNAL OF HYDROLOGY,2018,560,,150,159,10.1016/j.jhydrol.2018.03.020,1
Examining controls on peak annual streamflow and floods in the Fraser River Basin of British Columbia,"Curry, Charles L.; Zwiers, Francis W.",HYDROLOGY AND EARTH SYSTEM SCIENCES,2018,22,4,2285,2309,10.5194/hess-22-2285-2018,1
"Impact of LULC change on the runoff, base flow and evapotranspiration dynamics in eastern Indian river basins during 1985-2005 using variable infiltration capacity approach","Das, Pulakesh; Behera, Mukunda Dev; Patidar, Nitesh; Sahoo, Bhabagrahi; Tripathi, Poonam; Behera, Priti Ranjan; Srivastava, S. K.; Roy, Partha Sarathi; Thakur, Praveen; Agrawal, S. P.; Krishnamurthy, Y. V. N.",JOURNAL OF EARTH SYSTEM SCIENCE,2018,127,2,,,10.1007/s12040-018-0921-8,1
Soil Media CO2 and N2O Fluxes Dynamics from Sand-Based Roadside Bioretention Systems,"Shrestha, Paliza; Hurley, Stephanie E.; Adair, E. Carol",WATER,2018,10,2,,,10.3390/w10020185,1
Adapting Bioretention Construction Details to Local Practices in Finland,"Tahvonen, Outi",SUSTAINABILITY,2018,10,2,,,10.3390/su10020276,1
Bioretention Media for Enhanced Permeability and Phosphorus Sorption from Synthetic Urban Stormwater,"Yan, Qi; James, Bruce R.; Davis, Allen P.",JOURNAL OF SUSTAINABLE WATER IN THE BUILT ENVIRONMENT,2018,4,1,,,10.1061/JSWBAY.0000836,1
Crop and Irrigation Management Systems under Greenhouse Conditions,"Garcia-Caparros, Pedro; Llanderal, Alfonso; El-Tarawy, Ahmed; Maksimovic, Ivana; Lao, Maria Teresa",WATER,2018,10,1,,,10.3390/w10010062,1
Technical and natural conditions and operating efficiency of a municipal stormwater treatment plant,"Zubala, Tomasz",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2018,25,1,952,962,10.1007/s11356-017-0519-8,1
Aquatic biodiversity in sedimentation ponds receiving road runoff - What are the key drivers?,"Sun, Zhenhua; Brittain, John E.; Sokolova, Ekaterina; Thygesen, Helene; Saltveit, Svein Jakob; Rauch, Sebastien; Meland, Sondre",SCIENCE OF THE TOTAL ENVIRONMENT,2018,610,,1527,1535,10.1016/j.scitotenv.2017.06.080,1
The effects of green infrastructure on exceedance of critical shear stress in Blunn Creek watershed,"Shannak, Sa'd",APPLIED WATER SCIENCE,2017,7,6,2975,2986,10.1007/s13201-017-0606-5,1
Experimental investigation of fine sediment deposition using particle image velocimetry,"MoayeriKashani, Masoumeh; Hin, Lai Sai; Ibrahim, S.",ENVIRONMENTAL EARTH SCIENCES,2017,76,19,,,10.1007/s12665-017-7001-2,1
Temporal variability in soil moisture after thinning in semi-arid Picea crassifolia plantations in northwestern China,"Zhu, Xi; He, Zhi-Bin; Du, Jun; Chen, Long-Fei; Lin, Peng-Fei; Li, Jing",FOREST ECOLOGY AND MANAGEMENT,2017,401,,273,285,10.1016/j.foreco.2017.07.022,1
Towards improved parameterization of a macroscale hydrologic model in a discontinuous permafrost boreal forest ecosystem,"Endalamaw, Abraham; Bolton, W. Robert; Young-Robertson, Jessica M.; Morton, Don; Hinzman, Larry; Nijssen, Bart",HYDROLOGY AND EARTH SYSTEM SCIENCES,2017,21,9,4663,4680,10.5194/hess-21-4663-2017,1
Adapting the Relaxed Tanks-in-Series Model for Stormwater Wetland Water Quality Performance,"Merriman, Laura S.; Hathaway, Jon M.; Burchell, Michael R.; Hunt, William F.",WATER,2017,9,9,,,10.3390/w9090691,1
Field Studies of Microbial Removal from Stormwater by Bioretention Cells with Fly-Ash Amendment,"Youngblood, Sheila; Vogel, Jason; Brown, Glenn; Storm, Daniel; McLemore, Alex; Kandel, Saroj",WATER,2017,9,7,,,10.3390/w9070526,1
Assessment of Upper Taylor Slough water quality and implications for ecosystem management in Everglades National Park,"Julian, Paul, II",WETLANDS ECOLOGY AND MANAGEMENT,2017,25,2,191,209,10.1007/s11273-016-9509-8,1
Characterizing Clinoptilolite Zeolite and Hydroaluminosilicate Aggregates for Ammonium Removal from Stormwater Runoff,"Khorsha, Golnaz; Davis, Allen P.",JOURNAL OF ENVIRONMENTAL ENGINEERING,2017,143,2,,,10.1061/(ASCE)EE.1943-7870.0001167,1
A distributed eco-hydrological model and its application,"Xu, Zong-xue; Lei Li; Jie Zhao",WATER SCIENCE AND ENGINEERING,2017,10,4,257,264,10.1016/j.wse.2017.12.007,1
Urban wetlands: restoration or designed rehabilitation?,"Ravit, Beth; Gallagher, Frank; Doolittle, James; Shaw, Richard; Muniz, Edwin; Alomar, Richard; Hoefer, Wolfram; Berg, Joe; Doss, Terry",AIMS ENVIRONMENTAL SCIENCE,2017,4,3,458,483,10.3934/environsci.2017.3.458,1
Assessing habitat requirements of pond-breeding amphibians in a highly urbanized landscape: implications for management,"Guderyahn, Laura B.; Smithers, Ashley P.; Mims, Meryl C.",URBAN ECOSYSTEMS,2016,19,4,1801,1821,10.1007/s11252-016-0569-6,1
Averting degradation of southern Ontario wetlands due to hydrologic alterations associated with development,"Bradford, Andrea",Canadian Water Resources Journal,2016,41,4,543,553,10.1080/07011784.2015.1119061,1
Characteristics of soil infiltration in the Tarim River floodplain,"Li, Xinhu; Feng, Gary; Zhao, Chengyi; Shi, Fengzhi",ENVIRONMENTAL EARTH SCIENCES,2016,75,9,,,10.1007/s12665-016-5573-x,1
"THREE BAYS ESTUARY (BARNSTABLE, CAPE COD) WATERSHED RESTORATION PLAN: A GREEN INFRASTRUCTURE APPROACH","Horsley, Scott; Perry, Erin; Counsell, Lindsey",JOURNAL OF GREEN BUILDING,2016,11,2,22,38,10.3992/jgb.11.2.22.1,1
"Assessment of bed sediment metal contamination in the Shadegan and Hawr Al Azim wetlands, Iran","Nasirian, Hassan; Irvine, K. N.; Sadeghi, Sayyed Mohammad Taghi; Mahvi, Amir Hossein; Nazmara, Shahrokh",ENVIRONMENTAL MONITORING AND ASSESSMENT,2016,188,2,,,10.1007/s10661-016-5117-6,1
SIMULATED FLOOD OF A SMALL CONSTRUCTED FLOODPLAIN WETLAND IN VIRGINIA: EVENT-SCALE POLLUTANT ATTENUATION,"Ludwig, A.; Hession, W. C.; Scott, D.; Gallagher, D.",Transactions of the ASABE,2016,59,5,1321,1331,10.13031/trans.59.11622,1
Evaluation of Infiltration Basin Performance on Coarse Soils,"Bean, Eban Z.; Dukes, Michael D.",JOURNAL OF HYDROLOGIC ENGINEERING,2016,21,1,,,10.1061/(ASCE)HE.1943-5584.0001258,1
Divergent Vegetation Growth Patterns Relative to Bioinfiltration Unit Size and Plant Placement,"Brown, Robert A.; O'Connor, Thomas P.; Borst, Michael",JOURNAL OF SUSTAINABLE WATER IN THE BUILT ENVIRONMENT,2015,1,3,,,10.1061/JSWBAY.0000796,1
Hydrologic Memory Patterns Assessment over a Drought-Prone Canadian Prairies Catchment,"Agboma, C. O.; Lye, L. M.",JOURNAL OF HYDROLOGIC ENGINEERING,2015,20,7,,,10.1061/(ASCE)HE.1943-5584.0001106,1
Predicting Ecological Effects of Watershed-Wide Rain Garden Implementation Using a Low-Cost Methodology,"Dovel, Erin L.; Kemp, Stanley J.; Welker, Andrea L.",JOURNAL OF ENVIRONMENTAL ENGINEERING,2015,141,3,,,10.1061/(ASCE)EE.1943-7870.0000896,1
"Application of PCSWMM to Assess Wastewater Treatment and Urban Flooding Scenarios in Phnom Penh, Cambodia: A Tool to Support Eco-City Planning","Irvine, Kim N.; Sovann, Chansopheaktra; Suthipong, Sthiannopkao; Kok, Sothea; Chea, Eliyan",JOURNAL OF WATER MANAGEMENT MODELING,2015,,,,,10.14796/JWMM.C389,1
DESIGNING FOR ENVIRONMENTAL AND INFRASTRUCTURE SUSTAINABILITY: ONTARIO CASE STUDIES FOR RETROFITS AND NEW DEVELOPMENTS,"Denich, Chris; Zaghal, Ashraf",JOURNAL OF GREEN BUILDING,2014,9,1,40,59,10.3992/1943-4618-9.1.40,1
Dynamics and integrity of wetland network in estuary,"Dou, Peng; Cui, Baoshan",ECOLOGICAL INFORMATICS,2014,24,,1,10,10.1016/j.ecoinf.2014.06.002,1
Rapid assessment system based on ecosystem services for retrofitting of sustainable drainage systems,"Scholz, Miklas",ENVIRONMENTAL TECHNOLOGY,2014,35,10,1286,1295,10.1080/09593330.2013.866170,1
Relationship Between Woody Plant Colonization and Typha L. Encroachment in Stormwater Detention Basins,"Plumb, Priscilla Bocskor; Day, Susan D.; Wynn-Thompson, Theresa M.; Seiler, John R.",ENVIRONMENTAL MANAGEMENT,2013,52,4,861,876,10.1007/s00267-013-0137-2,1
A Laboratory Study of the Treatability of Synthetic Stormwater Under Varying Conditions Using Electric Arc Furnace Steel Slag,"Okochi, Nnaemeka C.; McMartin, Dena W.",WATER,2012,4,2,321,344,10.3390/w4020321,1
DESIGN AND PERFORMANCE OF BIORETENTION BEDS FOR REMOVAL OF STORMWATER CONTAMINANTS,"Austin, Gary",JOURNAL OF GREEN BUILDING,2012,7,1,17,27,10.3992/jgb.7.1.17,1
Bacterial Diversity in Soil Exposed to Highway Runoff and De-icing Agents,"Rotaru, Camelia; Woodard, Trevor L.; Nevin, Kelly P.",GEOMICROBIOLOGY JOURNAL,2011,28,4,359,370,10.1080/01490451.2010.504608,1
A novel flood management strategy to plan eco-industry development in areas of coastal land-subsidence in Taiwan,"Su, Hui-Chen; Lin, Hau-I",CANADIAN JOURNAL OF CIVIL ENGINEERING,2010,37,4,553,561,10.1139/L10-001,1
The effect of Stipa tenacissima tussocks on some soil surface properties under arid bioclimate in the southern Tunisia,"Kaouthar, Jeddi; Chaieb, Mohamed",ACTA BOTANICA GALLICA,2009,156,2,173,181,10.1080/12538078.2009.10516149,1
Effect of phosphorus concentration on the growth of cattail callus cells,"Estime, L; O'Shea, M; Borst, M; Gerrity, J; Liao, SL",JOURNAL OF PLANT NUTRITION,2003,26,3,691,707,10.1081/PLN-120017676,1
Balancing stream and wetland preservation with nonpoint source pollution management: A case study,"Der, AT",WATER SCIENCE AND TECHNOLOGY,1999,40,10,137,144,10.1016/S0273-1223(99)00686-1,1
Wildfires and their impact on the water supply of a large neotropical metropolis: A simulation approach,"Rodrigues, Evandro Luis; Jacobi, Claudia Maria; Cortes Figueira, Jose Eugenio",SCIENCE OF THE TOTAL ENVIRONMENT,2019,651,,1261,1271,10.1016/j.scitotenv.2018.09.289,0
Clay beads as artificial trapping matrices for monitoring bacterial distribution among urban stormwater infiltration systems and their connected aquifers,"Mermillod-Blondin, Florian; Voisin, J.; Marjolet, L.; Marmonier, P.; Cournoyer, B.",ENVIRONMENTAL MONITORING AND ASSESSMENT,2019,191,2,,,10.1007/s10661-019-7190-0,0
Reliability-Based Approach to Investigating Long-Term Clogging in Green Stormwater Infrastructure,"William, Reshmina; Gardoni, Paolo; Stillwell, Ashlynn S.",JOURNAL OF SUSTAINABLE WATER IN THE BUILT ENVIRONMENT,2019,5,1,,,10.1061/JSWBAY.0000875,0
Effects of Stormwater Capture and Use on Urban Streamflows,"Porse, Erik; Pincetl, Stephanie",WATER RESOURCES MANAGEMENT,2019,33,2,713,723,10.1007/s11269-018-2134-y,0
Differences in soil moisture in two Middle Eastern oak forests: Comparing the effects of trees and soil composition,"Kopler, Idan; Burg, David; Wittenberg, Lea; Malkinson, Dan",HYDROLOGICAL PROCESSES,2019,33,1,86,100,10.1002/hyp.13313,0
Opportunities for natural infrastructure to improve urban water security in Latin America,"Tellman, Beth; McDonald, Robert I.; Goldstein, Joshua H.; Vogl, Adrian L.; Floerke, Martina; Shemie, Daniel; Dudley, Russ; Dryden, Rachel; Petry, Paulo; Karres, Nathan; Vigerstol, Kari; Lehner, Bernhard; Veiga, Fernando",PLOS ONE,2018,13,12,,,10.1371/journal.pone.0209470,0
A multi-functional and multi-compartment constructed wetland to support urban waterway restoration,"Adyel, T. M.; Hipsey, M. R.; Oldham, C.",WATER PRACTICE AND TECHNOLOGY,2018,13,4,764,770,10.2166/wpt.2018.086,0
The role of influent organic carbon-to-nitrogen (COD/N) ratio in removal rates and shaping microbial ecology in soil aquifer treatment (SAT),"Friedman, Liron; Mamane, Hadas; Avisar, Dror; Chandran, Kartik",WATER RESEARCH,2018,146,,197,205,10.1016/j.watres.2018.09.014,0
Exploring structural habitat heterogeneity in sustainable urban drainage systems (SUDS) for urban biodiversity support,"Monberg, Rikke Juul; Howe, Andy G.; Ravn, Hans Peter; Jensen, Marina Bergen",URBAN ECOSYSTEMS,2018,21,6,1159,1170,10.1007/s11252-018-0790-6,0
Evaluating the influence of design strategies and meteorological factors on tree transpiration in bioretention suspended pavement practices,"Tirpak, R. Andrew; Hathaway, Jon M.; Franklin, Jennifer A.",ECOHYDROLOGY,2018,11,8,,,10.1002/eco.2037,0
Stochastic water balance dynamics of passive and controlled stormwater basins,"Parolari, Anthony J.; Pelrine, Steven; Bartlett, Mark S.",ADVANCES IN WATER RESOURCES,2018,122,,328,339,10.1016/j.advwatres.2018.10.016,0
Comparative copper toxicity impact and enzymatic cascade effect on Biosorption Activated Media and woodchips for nutrient removal in stormwater treatment,"Wen, Dan; Chang, Ni-Bin; Wanielista, Martin P.",CHEMOSPHERE,2018,213,,403,413,10.1016/j.chemosphere.2018.09.062,0
Soil Layer Development and Biota in Bioretention,"Ayers, Emily Mitchell; Kangas, Patrick",WATER,2018,10,11,,,10.3390/w10111587,0
Effects of Urban Stormwater Control Measures on Denitrification in Receiving Streams,"Rivers, Erin N.; McMillan, Sara K.; Bell, Colin D.; Clinton, Sandra M.",WATER,2018,10,11,,,10.3390/w10111582,0
Removal of Heavy Metals in Vegetative Graywater Biofiltration Columns,"Chowdhury, Rezaul; Abaya, Jameelu S.; Tsiksi, Taoufik; Mohamed, Mohamed M. A.",JOURNAL OF ENVIRONMENTAL ENGINEERING,2018,144,11,,,10.1061/(ASCE)EE.1943-7870.0001461,0
Treatment of Agriculture Stormwater Runoff by Cascading System of Stormwater Containment Basins,"Myers, Rosemary; Yan, Qi; Davis, Allen P.",JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,2018,144,11,,,10.1061/(ASCE)IR.1943-4774.0001345,0
The Health of Trees in Bioretention: A Survey and Analysis of Influential Variables,"Tirpak, R. Andrew; Hathaway, Jon M.; Franklin, Jennifer A.; Khojandi, Anahita",JOURNAL OF SUSTAINABLE WATER IN THE BUILT ENVIRONMENT,2018,4,4,,,10.1061/JSWBAY.0000865,0
Biofilters for urban agriculture: Metal uptake of vegetables irrigated with stormwater,"Ng, K. T.; Herrero, P.; Hatt, B.; Farrelly, M.; McCarthy, D.",ECOLOGICAL ENGINEERING,2018,122,,177,186,10.1016/j.ecoleng.2018.07.033,0
"Ecosystem services in urban plans: What is there, and what is still needed for better decisions","Cortinovis, Chiara; Geneletti, Davide",LAND USE POLICY,2018,70,,298,312,10.1016/j.landusepol.2017.10.017,13
